game_name,game iter,trial_no,tool,posx,posy,success,total_attempt
Catapult,0,1,obj1,221.5140667837345,236.8994093492569,True,11
Catapult,0,2,obj3,179.0,161.0,True,11
Catapult,0,3,obj1,425.5780919123519,372.72228731641417,True,11
Catapult,0,4,obj1,517.8561632806716,135.29098192792526,True,11
Catapult,0,5,obj2,402.0,279.0,True,11
Catapult,0,6,obj1,199.15289780147947,475.94316645466915,True,11
Catapult,0,7,obj1,358.0714376514943,165.26247674667923,True,11
Catapult,0,8,obj1,47.35736766683232,452.0506974799621,True,11
Catapult,0,9,obj3,205.0,385.0,True,11
Catapult,0,10,obj3,486.9734351869653,502.40919378822286,True,11
Catapult,0,11,obj2,412.0,357.0,True,11
Catapult,1,1,obj1,294.8692132551087,273.4223497172625,False,11
Catapult,1,2,obj3,166.28390484555155,179.55843645761436,False,11
Catapult,1,3,obj1,151.96729682901773,191.65162044305737,False,11
Catapult,1,4,obj2,432.0,312.0,False,11
Catapult,1,5,obj1,407.404632539551,437.47969452374366,False,11
Catapult,1,6,obj1,55.847525672764505,408.841616888943,False,11
Catapult,1,7,obj3,184.0,228.0,False,11
Catapult,1,8,obj1,199.15309659886864,522.539022264886,False,11
Catapult,1,9,obj1,454.6043134181514,432.40345402481057,False,11
Catapult,1,10,obj1,182.0,514.0,False,11
Catapult,1,11,obj1,189.12180999039248,260.27529338655546,False,11
Catapult,2,1,obj1,205.24065694995323,209.80753676104055,False,11
Catapult,2,2,obj1,405.0,491.0,False,11
Catapult,2,3,obj1,73.10649768328123,398.7863052237446,False,11
Catapult,2,4,obj1,96.01024049676944,406.5382911276247,False,11
Catapult,2,5,obj1,517.7446381545363,211.067126409391,False,11
Catapult,2,6,obj1,181.85286695838712,494.72324169711567,False,11
Catapult,2,7,obj1,206.42291289060958,534.0672274998851,False,11
Catapult,2,8,obj1,187.90169524418198,392.92577558503723,False,11
Catapult,2,9,obj1,266.3053524276535,560.5376942219478,False,11
Catapult,2,10,obj1,298.4732305725093,492.97400589541064,False,11
Catapult,2,11,obj1,297.3240654752028,563.6472730361709,False,11
Catapult,3,1,obj1,390.42449913298185,397.0891099808119,False,11
Catapult,3,2,obj1,392.42876525372793,556.789963049037,False,11
Catapult,3,3,obj1,400.78748913486857,321.74604840210765,False,11
Catapult,3,4,obj3,427.2935783430591,516.1181948037415,False,11
Catapult,3,5,obj3,204.0,190.0,False,11
Catapult,3,6,obj1,164.49506093430134,233.45333295293517,False,11
